# SIZE &  FULL &  WF &  VER &  SAT &  COV &  COMP &  RED &  SUM &  FULL_LAZY
221 & 27.992 & 11.525 & 2.977 & 4.126 & 2.474 & 3.851 & 3.315 & 28.270 & 23.975
433 & 26.547 & 10.867 & 2.639 & 3.844 & 2.451 & 3.892 & 3.300 & 26.994 & 22.973
645 & 18.637 & 7.271 & 1.900 & 2.953 & 1.818 & 2.916 & 2.404 & 19.265 & 16.123
837 & 19.857 & 7.491 & 1.632 & 3.012 & 2.037 & 3.518 & 2.745 & 20.438 & 17.163
1033 & 21.290 & 7.800 & 1.196 & 3.026 & 2.320 & 4.295 & 3.187 & 21.826 & 18.572
2057 & 30.110 & 7.752 & 1.224 & 5.728 & 3.240 & 8.122 & 4.762 & 30.830 & 24.767
3074 & 44.378 & 7.622 & 1.231 & 10.194 & 4.728 & 14.511 & 7.357 & 45.644 & 34.873
4116 & 69.415 & 9.637 & 1.531 & 16.949 & 7.296 & 24.126 & 11.556 & 71.097 & 53.432
6168 & 134.108 & 12.627 & 1.922 & 35.267 & 13.900 & 50.458 & 22.644 & 136.819 & 100.211
8211 & 214.269 & 10.557 & 1.552 & 59.711 & 21.645 & 85.316 & 36.249 & 215.033 & 154.812
