# SIZE  &   FULL  &   WF  &   VER  &   SAT  &   COV  &   COMP  &   RED  &   SUM  &   FULL_LAZY
221  &  27.754  &  11.532  &  2.978  &  4.096  &  2.428  &  3.830  &  3.284  &  28.151  &  27.877
433  &  27.422  &  11.271  &  2.621  &  3.905  &  2.527  &  4.044  &  3.405  &  27.775  &  27.552
645  &  30.157  &  12.162  &  3.149  &  4.623  &  2.686  &  4.419  &  3.612  &  30.653  &  30.370
837  &  29.178  &  11.526  &  2.417  &  4.301  &  2.788  &  4.791  &  3.787  &  29.612  &  29.366
1033  &  27.081  &  10.340  &  1.564  &  3.934  &  2.776  &  5.023  &  3.815  &  27.455  &  27.183
2057  &  38.823  &  11.505  &  1.763  &  7.838  &  3.842  &  8.859  &  5.552  &  39.360  &  39.190
3074  &  45.507  &  7.957  &  1.257  &  12.832  &  4.355  &  13.134  &  6.780  &  46.316  &  45.901
4116  &  72.536  &  10.761  &  1.666  &  21.856  &  6.827  &  21.881  &  10.843  &  73.836  &  73.151
6168  &  132.454  &  11.000  &  1.666  &  45.517  &  12.042  &  44.321  &  20.031  &  134.579  &  133.296
8211  &  217.618  &  11.745  &  1.699  &  78.667  &  19.303  &  75.391  &  32.892  &  219.699  &  218.322
