"name","correct","wf","users","roles","permissions","operations","restricted","activities","partitions","actions","granted","forbidden","activateroles","deactivateroles","u-r","hierarchies","r-p","SSoD","DSoD","o-p","a-o","ap-r","classes","tot_elts","tot_assoc","tot_ster","time_full","errors_full","warnings_full","time_wf","errors_wf","warnings_wf","time_ver","errors_ver","warnings_ver","time_sat","errors_sat","warnings_sat","time_cov","errors_cov","warnings_cov","time_comp","errors_comp","warnings_comp","time_red","errors_red","warnings_red","time_full_lazy","errors_full_lazy","warnings_full_lazy","time_full_multi","errors_full_multi","warnings_full_multi"
"incorrect0001-1",1,,10,10,10,10,10,1,3,0,2,1,0,0,50,0,50,0,0,50,7,7,3,47,164,46,31108,3,13,12883,0,0,3320,3,0,4537,0,2,2687,0,11,4260,0,0,3649,0,0,31200,3,13,,,
"incorrect0001-2",1,,10,10,10,10,10,1,3,0,2,3,0,0,50,0,50,0,0,50,18,9,3,47,177,48,38535,5,12,16121,0,0,4142,5,0,5611,0,2,3271,0,10,5272,0,0,4473,0,0,38647,5,12,,,
"incorrect0001-3",1,,10,10,10,10,10,1,3,0,1,3,0,0,50,0,50,0,0,50,17,7,3,47,174,47,16455,4,10,6834,0,0,1774,4,0,2511,0,1,1529,0,9,2332,0,0,2063,0,0,16610,4,10,,,
"incorrect0001-4",1,,10,10,10,10,10,1,3,0,3,2,0,0,50,0,50,0,0,50,13,10,3,47,173,48,34126,5,14,14193,0,0,3655,5,0,5014,0,3,2950,0,11,4692,0,0,3974,0,0,34182,5,14,,,
"incorrect0001-5",1,,10,10,10,10,10,1,3,0,5,3,0,0,50,0,50,0,0,50,24,9,3,47,183,51,18549,8,13,7632,0,0,2003,8,0,2811,0,5,1706,0,8,2594,0,0,2265,0,0,18746,8,13,,,
"incorrect0002-1",1,,20,20,20,20,20,1,3,0,6,10,0,0,100,0,100,0,0,100,40,9,3,87,349,99,27854,16,36,11337,0,0,2918,16,0,4135,0,16,2452,0,20,3903,0,0,3288,0,0,27883,16,36,,,
"incorrect0002-2",1,,20,20,20,20,20,1,3,0,9,10,0,0,100,0,100,0,0,100,48,12,3,87,360,102,33608,19,39,13717,0,0,3569,19,0,5008,0,19,2944,0,19,4720,0,1,3958,0,0,33645,19,39,,,
"incorrect0002-3",1,,20,20,20,20,20,1,3,0,5,10,0,0,100,0,100,0,0,100,41,11,3,87,352,98,19950,15,31,8097,0,0,2112,15,0,3053,0,12,1831,0,19,2897,0,0,2464,0,0,20200,15,31,,,
"incorrect0002-4",1,,20,20,20,20,20,1,3,0,3,10,0,0,100,0,100,0,0,100,33,6,3,87,339,96,23177,13,29,9356,0,0,2442,13,0,3473,0,7,2095,0,22,3308,0,0,2814,0,0,23193,13,29,,,
"incorrect0002-5",1,,20,20,20,20,20,1,3,0,0,10,0,0,100,0,100,0,0,100,29,4,3,87,333,93,32521,10,37,13852,0,0,2068,10,0,3857,0,15,3313,0,21,5393,0,1,4505,0,0,32840,10,37,,,
"incorrect0003-1",1,,30,30,30,30,30,1,3,0,3,15,0,0,150,0,150,0,0,150,47,9,3,127,506,141,26857,18,51,10812,0,0,2802,18,0,4146,0,20,2408,0,31,3988,0,0,3248,0,0,27012,18,51,,,
"incorrect0003-2",1,,30,30,30,30,30,1,3,0,2,15,0,0,150,0,150,0,0,150,55,7,3,127,512,140,33504,17,58,13611,0,0,3508,17,0,5115,0,24,2954,0,33,4864,0,1,3989,0,0,33766,17,58,,,
"incorrect0003-3",1,,30,30,30,30,30,1,3,0,11,15,0,0,150,0,150,0,0,150,47,10,3,127,507,149,24400,26,57,9671,0,0,2511,26,0,3776,0,22,2217,0,35,3640,0,0,2968,0,0,24554,26,57,,,
