# SIZE &  FULL &  WF &  VER &  SAT &  COV &  COMP &  RED &  SUM &  FULL_LAZY
222 & 15.486 & 4.026 & 1.062 & 1.578 & 1.018 & 1.443 & 1.342 & 10.471 & 6.229
429 & 15.603 & 3.948 & 0.979 & 1.558 & 1.060 & 1.573 & 1.392 & 10.512 & 6.170
638 & 12.437 & 2.862 & 0.702 & 1.317 & 0.936 & 1.474 & 1.215 & 8.508 & 4.600
836 & 13.884 & 3.231 & 0.517 & 1.411 & 1.136 & 2.011 & 1.527 & 9.835 & 4.934
1039 & 12.261 & 2.511 & 0.456 & 1.613 & 1.068 & 2.127 & 1.472 & 9.249 & 5.249
2066 & 23.543 & 3.190 & 0.542 & 4.133 & 2.023 & 5.767 & 3.076 & 18.733 & 4.811
3090 & 38.925 & 3.419 & 0.588 & 8.213 & 3.376 & 11.441 & 5.447 & 32.486 & 5.069
4115 & 61.505 & 4.233 & 0.704 & 14.018 & 5.356 & 19.488 & 8.865 & 52.665 & 6.237
6156 & 122.027 & 4.878 & 0.750 & 30.415 & 10.761 & 42.340 & 18.270 & 107.416 & 6.344
8212 & 210.898 & 7.030 & 1.003 & 52.865 & 18.275 & 74.372 & 31.620 & 185.167 & 9.604
